citation_context,section,citation_intent
"Verilen sonuçlarda bir önceki yıla göre mobil internet kullanım oranı ise %4 oranında 218 milyon kişi artmıştır. Türkiye'de ise nüfusun %67'sine tekabül eden 54.33 milyon kişinin internet kullanıcısı, mobil kullanıcı sayısının 51.45 milyon olduğu verilmektedir <CITE> . Bu durum bize internet ve mobil internetin hayatımızda ne kadar önemli bir rolü olduğunu göstermektedir.",giriş,background
"Phishing ya da oltalama/yemleme bazı yerlerde ise e-tuzak, kimlik avı gibi kelimelerinin karşılığına bakıldığında banka şifresi, kredi kartı bilgileri, mail şifresi, kullanıcı şifresi gibi tamamen kişisel bilgilerin çalınması için yapılan bir elektronik aldatmaca işlemidir. Genellikle sosyal mühendislik yöntemi kullanılarak e-posta veya anlık mesaj halinde kullanıcıya yapılan bir dolandırıcılık türüdür <CITE> . Bankalardan gelen şifre yenileme linki ya da alışveriş sitelerinden gelen cazip postalara tıkladığınızda bire bir aynı tasarım ile yapılmış; ancak orijinal siteyle alakası olmayan başka bir web sitesine yönlendirilirsiniz ve gerekli olan teknik bilgiye sahip değilseniz; bilgilerinizi bu siteye girdiğinizde hesaplarınıza ya da bilgilerinize ulaşıp sizi dolandırabilirler.",giriş,background
"Durumu daha iyi analiz edebilmek için; Kaspersky Lab 2018'in 3. Çeyreği saldırı istatistiklerine bakıldığında 246.695.333 tekil URL şüpheli bileşenler içermekte olup, 305.315 kişinin banka hesaplarından bu şekilde para alındığı raporlanmıştır <CITE> . Intel Security 2015'te, phishing uygulamasıyla ilgili bilgileri test etmek ve phishingi tespit etme yeteneğini ölçmek için ilginç bir çalışma yayınlamıştır.",giriş,background
"Araştırmanın verileri 144 ülkeden toplanmış ve 19.000 kişi araştırılmıştır. Sonuçta, insanların %97'sinin kimlik avı e-postalarını tanımlayamadığını göstermektedir <CITE> .",giriş,background
"Kimlik avından korunabilme yollarından bahsettikten sonra bir web sitesinin gerçek mi yoksa sahte mi olduğunu anlayabilmenin kişilere zarar vermeden bir yolu var mı diye bakıldığında, makine öğrenmesi yoluyla bu işin antivirüs firmaları tarafından da bu şeklide yapıldığı görülmektedir. Makine öğrenmesi, bilgisayarların gerçekleştirdikleri eylemleri daha doğru bir hale getirmek üzere değiştirmesi veya uyarlamasıdır <CITE> . Kimlik avı hırsızlığı (Phishing) gerçekleştiren web siteleri konusunda kullanıcıları henüz bir hırsızlık gerçekleşmeden uyarabilmek için bu metod kullanılabilir.",giriş,background
"Çalışma sonucunda, derin öğrenme tekniklerinin bir parçası olan yığılmış otomatik kodlayıcılar ile %86 başarı oranına ulaşılmıştır. <CITE> , çalışmasında makine öğrenmesi yöntemlerinin karşılaştırılmasını gerçekleştirmiş olup, 9 farklı özellik içeren 1.353 örnekten oluşan bir veri kümesinden yararlanmıştır. Rastgele Orman (RF) daha başarılı olsa da çapraz doğrulamanın kullanıldığı durumda çok katmanlı algılayıcı daha yüksek bir başarım elde etmiştir.",giriş,background
Rastgele Orman (RF) daha başarılı olsa da çapraz doğrulamanın kullanıldığı durumda çok katmanlı algılayıcı daha yüksek bir başarım elde etmiştir. <CITE> çalışmalarında Phishing Websites adlı veri seti kullanılmış ve RF ve PRISM algoritmalarının doğruluk oranında yüksek başarı gösterdiği ortaya çıkmıştır. [REF] çalışmalarında PILFER adlı makine öğrenmesi yaklaşımını kullanarak 860 phishing postası ve 6.950 gerçek posta arasından kimlik avı yapan sitelerin doğruluk oranını %92 olarak bulmuştur.,giriş,background
[REF] çalışmalarında Phishing Websites adlı veri seti kullanılmış ve RF ve PRISM algoritmalarının doğruluk oranında yüksek başarı gösterdiği ortaya çıkmıştır. <CITE> çalışmalarında PILFER adlı makine öğrenmesi yaklaşımını kullanarak 860 phishing postası ve 6.950 gerçek posta arasından kimlik avı yapan sitelerin doğruluk oranını %92 olarak bulmuştur. Miyamoto vd.,giriş,background
"( 2008) çalışmalarında kimlik hırsızı web sitelerinin sınıflandırılması için 9 makine öğrenme tekniği kullanmış olup, 1.500 gerçek, 1.500 sahte e-posta arasından %83 ile RF algoritmasının en yüksek başarımı vermiştir. <CITE> Phishing   ve Spam   veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.",giriş,background
"( 2008) çalışmalarında kimlik hırsızı web sitelerinin sınıflandırılması için 9 makine öğrenme tekniği kullanmış olup, 1.500 gerçek, 1.500 sahte e-posta arasından %83 ile RF algoritmasının en yüksek başarımı vermiştir. Phishing <CITE> ve Spam   veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.",giriş,background
"( 2008) çalışmalarında kimlik hırsızı web sitelerinin sınıflandırılması için 9 makine öğrenme tekniği kullanmış olup, 1.500 gerçek, 1.500 sahte e-posta arasından %83 ile RF algoritmasının en yüksek başarımı vermiştir. Phishing   ve Spam <CITE> veri setlerini kullanarak 4.000 posta içerisinden 973 phishing postasını %97.99 doğruluk oranı ile Biased Support Vector Machine (BSVM) ile bulmuşlardır.",giriş,background
"Bu doğrultuda kullanıcıların karşılaşacakları web sitelerinin durumunun tespiti için makine öğrenmesi algoritmalarının kullanımı ve bu algoritmaların performans ölçütlerinin karşılaştırılması amaçlanmaktadır. Bu kapsamda Machine Learning Repository (UCI)'da erişime açılmış, 1.353 web sitesine ait veri bulunmaktadır <CITE> . Bu araştırma, web sitelerin durumuna göre sitenin sahte içerikli bir web sayfası veya gerçek bir web sayfası olduğunu ortaya koyacak en yüksek performansa sahip sınıflandırma algoritmasını bulmayı amaçlamaktadır.",materyal ve metot,basis
"2016 yılında UCI'ye bağışlanan bu veri seti Phish Tank arşivi ve Yahoo'dan PHP'de geliştirilen bir script dosyası ile toplanmıştır. Elde edilen veriler 1.353 örnek ve 10 niteliğe sahiptir <CITE> . Verilerin 548'i meşru site, 702'si kimlik avı ve 103 URL ise şüphelidir.",materyal ve metot,basis
Yani geçmiş tecrübelerden geleceğe yönelik öngörülerde bulunulmuştur. Bu öğrenme türü danışmanlı (denetimli) öğrenme olarak adlandırılmaktadır <CITE>. Veri setindeki yüksek sayıda girdi vektörüne sonlu sayıdaki ayrık kategorilerden birinin atanması durumu sınıflandırma olarak ifade edilmiştir [REF].,materyal ve metot,background
"Bu öğrenme türü danışmanlı (denetimli) öğrenme olarak adlandırılmaktadır [REF]. Veri setindeki yüksek sayıda girdi vektörüne sonlu sayıdaki ayrık kategorilerden birinin atanması durumu sınıflandırma olarak ifade edilmiştir <CITE>. Bu çalışmada da kimlik avı sitelerinin durumları mevcut verilerden analiz edilerek ""Kimlik Avı=-1"" ""Şüpheli=0"" ve ""Meşru=1"" sınıflandırması ile tahmin edilmeye çalışılmıştır.",materyal ve metot,background
"Makine öğrenmesinde sınıflandırma metodu ile oluşturulan modelin Avrupa Bilim ve Teknoloji Dergisi e-ISSN: [REF] başarısını ölçmek için bu ölçütler sıklıkla kullanılmaktadır. Modellerin performans sonuçlarının tespitinde çoğunlukla, gerçek sınıfların ve tahmin sınıfların değerlerini bulunduran hata matrisinde faydalanılmaktadır <CITE>.",materyal ve metot,background
"Kontenjans tablosu/karmaşıklık matrisi gerçek değerlerin bilindiği bir test veri kümesinde bir sınıflandırma modelinin performansını tanımlamak için sıklıkla kullanılan bir tablodur. Elde edilebilecek olası sonuçlar Gerçek Pozitif (TP), Yanlış Pozitif (FP), Yanlış Negatif (FN) ve Gerçek Negatif (TN) elemanlarından oluşmaktadır <CITE>.",materyal ve metot,background
Tablo-2'deki verileri kullanılması ile model performans ölçütlerinin hesaplanması aşağıdaki gibidir <CITE>:,materyal ve metot,basis
"Kappa İstatistiği: Landis ve <CITE> çalışmasında kappa istatistik değerinin 0,4'ün üzerinde olması durumunda ölçümün tesadüfi olmadığını, uyum kabul edilebileceğini, kappa istatistik değerinin 0,6 ile 0,8 arasında olmasının önemli bir derecede uyum olduğunu göstermektedir. Kappa istatistiği 0,8 ile 1 arasında olması ise neredeyse mükemmel bir uyumun olduğunu gösterdiğini söylemektedir.",materyal ve metot,background
Kappa sonuçları da incelendiğinde tesadüfi olmayan sonuçlar ile mükemmel sonuçlar elde ettiği görülmektedir. Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE>[REF][REF][REF][REF].,sonuç,support
Kappa sonuçları da incelendiğinde tesadüfi olmayan sonuçlar ile mükemmel sonuçlar elde ettiği görülmektedir. Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE>.,sonuç,support
"Parti tipi üretimin gerçekleştiği imalât sistemlerinde performansı arttırmak için tek parça akışı uygulanabilir <CITE>. Parti tipi akış sırasında belli büyüklükteki partinin, bir makineden diğerine geçmesi için partideki tüm parçaların ilgili işleminin tamamlanması gereklidir.",giriş,background
"Bu da aynı fabrika içerisinde hem imalat hücrelerinin hem de fonksiyonel alanın bulunmasına neden olmaktadır. Bu sistemlere de Melez Üretim Sistemleri (MÜS) denir <CITE>. Dolayısıyla, (MÜS) pratik hayatta sıkça karşılaşılan yapılardır.",giriş,background
"Ayrıca düzensiz talep koşullarına odaklanan ve bu duruma özgü değişen hızlarda üretim yapmaya olanak tanıyan çözümler sınırlıdır. MÜS tasarımı için genellikle sezgisel yöntemler geliştirilmiştir (Venkataramanaiah ve <CITE>[REF][REF][REF]. Bunun yanında doğrusal olmayan programlama (Murthy ve Srinivasan, 1995) ve doğrusal programlama [REF] kullanarak MÜS tasarımı gerçekleştirilmeye çalışılmıştır.",giriş,background
"Ayrıca düzensiz talep koşullarına odaklanan ve bu duruma özgü değişen hızlarda üretim yapmaya olanak tanıyan çözümler sınırlıdır. MÜS tasarımı için genellikle sezgisel yöntemler geliştirilmiştir <CITE> . Bunun yanında doğrusal olmayan programlama (Murthy ve Srinivasan, 1995) ve doğrusal programlama [REF] kullanarak MÜS tasarımı gerçekleştirilmeye çalışılmıştır.",giriş,background
